X,Y,Kommentar
101,697," ""Fensterseite links"""
101,566," ""Fensterseite links"""
101,407," ""Fensterseite links"""
101,262," ""Fensterseite links"""
270,262," ""Fensterseite gegenüber"""
428,262," ""Fensterseite gegenüber"""
572,262," ""Fensterseite gegenüber"""
723,262," ""Fensterseite gegenüber"""
874,262," ""Fensterseite gegenüber"""
1025,262," ""Fensterseite gegenüber"""
1176,262," ""Fensterseite gegenüber"""
1327,262," ""Fensterseite gegenüber"""
1478,262," ""Fensterseite gegenüber"""
1634,262," ""Fensterseite gegenüber"""
1634,409," ""Wand rechts"""
1634,566," ""Wand rechts"""
1634,708," ""Wand rechts"""
1634,837," ""Wand rechts"""
389,723," ""Mittig"""
542,723," ""Mittig"""
689,723," ""Mittig"""
821,723," ""Mittig"""
958,723," ""Mittig"""
1112,723," ""Mittig"""
1266,723," ""Mittig"""
